Bluetooth Chesterfield Sites,,,,,,,
Site ID,Site Name,Description,Speed Limit,Orientation,Grid,Latitude,Longitude
MAC000010101,10101 - Bluetooth,"A632 Chesterfield Road, Calow",0,W,4.44544E+11,53.23363,-1.39761
MAC000010102,10102 - Bluetooth,A619 Chatsworth Road,0,W,4.40305E+11,53.23076,-1.46783
MAC000010103,10103 - Bluetooth,"B6057 Hollywell Street, Chesterfield",0,NW,4.35621E+11,53.23856,-1.42643
MAC000010104,10104 - Bluetooth,"A61 Derby Road, Chesterfield",0,N,4.38377E+11,53.22335,-1.42647
MAC000010105,10105 - Bluetooth,"A619 Worksop Road, Mastin Moor",0,NE,4.38388E+11,53.27622,-1.31943
MAC000010106,10106 - Bluetooth,"A632 Chesterfield Road, Duckmanton",0,NE,4.45479E+11,53.23713,-1.3483
MAC000010107,10107 - Bluetooth,"A632 Chesterfield Road, Arkwright Town",0,NE,4.43593E+11,53.23131,-1.36656
MAC000010108,10108 - Bluetooth,"A619 Chatsworth Road, Chesterfield",0,W,4.4238E+11,53.23567,-1.43753
MAC000010109,10109 - Bluetooth,"A619 Markham Road, Chesterfield",0,SE,4.37639E+11,53.23499,-1.43641
MAC000010110,10110 - Bluetooth,"A619 Markham Road, Chesterfield",0,E,4.37714E+11,53.23347,-1.43048
MAC000010111,10111 - Bluetooth,"B6507 Sheffield Road, Stonegravels",0,SE,4.38111E+11,53.24952,-1.42775
MAC000010112,10112 - Bluetooth,"Lockoford Road, Whittington Moor",0,E,4.38279E+11,53.25104,-1.42598
MAC000010113,10113 - Bluetooth,"A619 Rother Way, Chesterfield",0,NE,4.38396E+11,53.25137,-1.42235
MAC000010114,10114 - Bluetooth,A61 Tesco Roundabout,0,NE,4.38638E+11,53.2519,-1.42334
MAC000010115,10115 - Bluetooth,"B6051 Newbold Road, Newbold",0,SE,4.38571E+11,53.25261,-1.45151
MAC000010116,10116 - Bluetooth,"A619 Market Street, Staveley",0,E,4.36692E+11,53.26616,-1.35181
MAC000010117,10117 - Bluetooth,"A619 Chesterfeld Road, Brimington",0,E,4.4333E+11,53.2524,-1.41088
MAC000010118,10118 - Bluetooth,"A619 Chatsworth Road, Chesterfield",0,E,4.39402E+11,53.23244,-1.45288
MAC000010119,10119 - Bluetooth,"C327 Whitecotes Lane, Walton",0,NE,4.36617E+11,53.22104,-1.44962
MAC000010120,10120 - Bluetooth,Whittington Moor Roundabout - Jnc Dunston Road,0,NW,4.36845E+11,53.26019,-1.4293
MAC000010121,10121 - Bluetooth,Whittington Moor Roundabout - Jnc Station Road,0,NE,4.38167E+11,53.26105,-1.42912
MAC000010122,10122 - Bluetooth,A6 Dronfield Bypass,0,N,4.38178E+11,53.29278,-1.47552
MAC000010123,10123 - Bluetooth,A619 Markham Road / Lordsmill Street Chesterfield,0,NE,4.35057E+11,53.23333,-1.42432
MAC000010124,10124 - Bluetooth,A632 Lordsmill St / Chesterfield Road Chesterfield,0,E,4.38523E+11,53.23349,-1.42334
MAC000010125,10125 - Bluetooth,M1 Jnc 29 Heath Roundabout,0,E,4.38588E+11,53.19816,-1.32482
MAC000010126,10126 - Bluetooth,M1 Jnc 29 Heath Roundabout A6175 Clay Cross,0,NW,4.45201E+11,53.19695,-1.325
MAC000010127,10127 - Bluetooth,A61 High Street Clay Cross,0,N,4.4519E+11,53.16895,-1.41598
MAC000010128,10128 - Bluetooth,A61 Alfreton Rd / Derby Rd,0,N,4.39138E+11,53.0909,-1.39514
MAC000010129,10129 - Bluetooth,HornsBridge RNDBT South side,0,W,4.40605E+11,53.23038,-1.42354
MAC000010130,10130 - Bluetooth,HornsBridge RNDBT North side,0,NE,4.38578E+11,53.23105,-1.42181
,,,,,4.38693E+11,,
